  2969 =     1.3.0.4.2.1
  2971 =     1.3.1.0.0.1
  2999 =     1.3.1.4.2.1
  3001 =     1.3.2.0.0.1
  3011 =     1.3.2.1.2.1
  3019 =     1.3.2.3.0.1
  3023 =     1.3.2.3.2.1
  3037 =     1.3.3.1.0.1
  3041 =     1.3.3.1.2.1
  3049 =     1.3.3.3.0.1
  3061 =     1.3.4.0.0.1
  3067 =     1.3.4.1.0.1
  3079 =     1.3.4.3.0.1
  3083 =     1.3.4.3.2.1
  3089 =     1.3.4.4.2.1
  3109 =     1.3.5.3.0.1
  3119 =     1.3.5.4.2.1
  3121 =     1.3.6.0.0.1
  3137 =     1.3.6.2.2.1
  3163 =     1.4.0.2.0.1
  3167 =     1.4.0.2.2.1
  3169 =     1.4.0.3.0.1
  3181 =     1.4.1.0.0.1
  3187 =     1.4.1.1.0.1
  3191 =     1.4.1.1.2.1
  3203 =     1.4.1.3.2.1
  3209 =     1.4.1.4.2.1
  3217 =     1.4.2.1.0.1
  3221 =     1.4.2.1.2.1
  3229 =     1.4.2.3.0.1
  3251 =     1.4.3.1.2.1
  3253 =     1.4.3.2.0.1
  3257 =     1.4.3.2.2.1
  3259 =     1.4.3.3.0.1
  3271 =     1.4.4.0.0.1
  3299 =     1.4.4.4.2.1
  3301 =     1.4.5.0.0.1
  3307 =     1.4.5.1.0.1
  3313 =     1.4.5.2.0.1
  3319 =     1.4.5.3.0.1
  3323 =     1.4.5.3.2.1
  3329 =     1.4.5.4.2.1
  3331 =     1.4.6.0.0.1
  3343 =     1.4.6.2.0.1
  3347 =     1.4.6.2.2.1
  3359 =     1.4.6.4.2.1
  3361 =     1.5.0.0.0.1
  3371 =     1.5.0.1.2.1
  3373 =     1.5.0.2.0.1
  3389 =     1.5.0.4.2.1
  3391 =     1.5.1.0.0.1
  3407 =     1.5.1.2.2.1
  3413 =     1.5.1.3.2.1
  3433 =     1.5.2.2.0.1
  3449 =     1.5.2.4.2.1
  3457 =     1.5.3.1.0.1
  3461 =     1.5.3.1.2.1
  3463 =     1.5.3.2.0.1
  3467 =     1.5.3.2.2.1
  3469 =     1.5.3.3.0.1
  3491 =     1.5.4.1.2.1
  3499 =     1.5.4.3.0.1
  3511 =     1.5.5.0.0.1
  3517 =     1.5.5.1.0.1
  3527 =     1.5.5.2.2.1
  3529 =     1.5.5.3.0.1
  3533 =     1.5.5.3.2.1
  3539 =     1.5.5.4.2.1
  3541 =     1.5.6.0.0.1
  3547 =     1.5.6.1.0.1
  3557 =     1.5.6.2.2.1
  3559 =     1.5.6.3.0.1
  3571 =     1.6.0.0.0.1
  3581 =     1.6.0.1.2.1
  3583 =     1.6.0.2.0.1
  3593 =     1.6.0.3.2.1
  3607 =     1.6.1.1.0.1
  3613 =     1.6.1.2.0.1
  3617 =     1.6.1.2.2.1
  3623 =     1.6.1.3.2.1
  3631 =     1.6.2.0.0.1
  3637 =     1.6.2.1.0.1
  3643 =     1.6.2.2.0.1
  3659 =     1.6.2.4.2.1
  3671 =     1.6.3.1.2.1
  3673 =     1.6.3.2.0.1
  3677 =     1.6.3.2.2.1
  3691 =     1.6.4.0.0.1
  3697 =     1.6.4.1.0.1
  3701 =     1.6.4.1.2.1
  3709 =     1.6.4.3.0.1
  3719 =     1.6.4.4.2.1
  3727 =     1.6.5.1.0.1
  3733 =     1.6.5.2.0.1
  3739 =     1.6.5.3.0.1
  3761 =     1.6.6.1.2.1
  3767 =     1.6.6.2.2.1
  3769 =     1.6.6.3.0.1
  3779 =     1.6.6.4.2.1
  3793 =     1.7.0.2.0.1
  3797 =     1.7.0.2.2.1
  3803 =     1.7.0.3.2.1
  3821 =     1.7.1.1.2.1
  3823 =     1.7.1.2.0.1
  3833 =     1.7.1.3.2.1
  3847 =     1.7.2.1.0.1
  3851 =     1.7.2.1.2.1
